ID;Nome;Inicio;Fim;Prioridade;Participantes
1;Reuniao de Planejamento Estrategico;8.0;9.5;1;12
2;Treinamento de Onboarding;8.0;11.0;3;25
3;Palestra: Inovacao no Setor;8.5;10.0;4;40
4;Reuniao de Orcamento;9.0;10.5;2;6
5;Reuniao de Marketing;9.5;11.0;3;8
6;Treinamento de Atendimento ao Cliente;10.0;12.0;4;20
7;Palestra: Saude Mental no Trabalho;10.5;12.0;5;60
8;Reuniao com Acionistas;11.0;12.0;1;15
9;Reuniao de Revisao de Contratos;13.0;14.0;2;4
10;Treinamento de Novo Software ERP;13.0;15.5;3;30
11;Palestra: Diversidade e Inclusao;13.5;15.0;4;45
12;Reuniao de Gestao de Crise;14.0;15.0;1;8
13;Reuniao de Pauta Semanal;14.5;15.5;3;10
14;Treinamento de Lideranca Iniciante;15.0;17.0;3;15
15;Reuniao com Equipe de TI;15.5;16.5;2;6
16;Palestra: Gestao de Tempo;16.0;17.5;5;35
17;Reuniao de Resultados Comerciais;16.0;18.0;1;12
18;Treinamento de Primeiros Socorros;16.5;18.0;4;20
19;Reuniao de Departamento Pessoal;17.0;18.0;3;5
20;Reuniao de Operacoes Logisticas;8.5;9.5;2;8
21;Treinamento de Compliance;10.0;11.5;1;25
22;Reuniao de Auditoria Interna;13.5;14.5;1;4
23;Palestra: Beneficios Corporativos;14.0;15.5;5;50
24;Reuniao de Comite de Etica;15.0;16.0;2;7
25;Reuniao de Encerramento do Dia;17.5;18.0;3;15
